RA_deg,Dec_deg,Gaia_magnitude
323.495304,45.592066,3.86
59.741249,35.791027,3.86
201.305898,54.987999,3.87
349.35755,-58.235928,3.87
156.098919,-74.031545,3.87
30.000937,-21.077772,3.87
93.713902,-6.274727,3.87
170.980703,10.529698,3.88
135.611662,-66.395844,3.88
242.998919,-19.460647,3.88
244.960698,-50.155379,3.89
220.490053,-37.793424,3.89
240.473766,58.564437,3.89
108.702757,-26.772686,3.89
25.915064,50.688766,3.89
71.375588,-3.254625,3.89
106.027231,20.570299,3.89
307.348879,30.368557,3.89
280.758891,-71.427729,3.89
285.420172,-5.739018,3.9
284.905788,15.068478,3.9
132.633381,-27.710059,3.9
182.103136,-24.72878,3.9
193.648573,-57.177891,3.91
308.303187,11.303332,3.91
359.82751,6.863594,3.91
34.328482,33.847321,3.91
271.363387,2.502439,3.91
131.67431,28.760005,3.91
75.854572,60.442281,3.91
62.966388,-6.837779,3.92
176.464877,6.529814,3.92
216.300081,51.851714,3.92
338.838871,-0.117361,3.92
47.262014,49.6135,3.93
131.099858,-42.649323,3.93
170.284367,6.029353,3.93
342.397958,-13.592538,3.93
215.139497,-37.885267,3.93
207.369574,15.797806,3.93
219.47188,-49.425758,3.93
74.093004,13.514578,3.94
113.980718,26.896003,3.94
184.609553,-64.003046,3.94
171.220763,-17.684017,3.94
184.394318,-67.960672,3.94
220.914515,-35.173225,3.94
254.896028,-53.16049,3.94
337.2927,58.41519,3.95
214.003687,-5.999526,3.95
227.210957,-45.279794,3.95
229.379001,-58.800879,3.95
283.833688,43.945893,3.96
320.521391,19.804356,3.96
11.834959,24.267377,3.96
39.870618,0.328517,3.96
316.486581,-17.232711,3.96
45.598305,-23.624336,3.96
103.547836,-12.038593,3.96
164.944787,-18.299097,3.96
84.226378,9.291412,3.97
237.185036,18.141779,3.97
117.309579,-46.373227,3.98
41.0487,49.228666,3.98
277.207233,-49.070031,3.98
287.507302,-39.340707,3.98
24.199904,41.406385,3.98
345.22031,-52.754106,3.99
158.867577,-78.607814,3.99
176.628538,-61.178359,3.99
40.166382,-39.855309,3.99
129.411006,-42.989104,3.99
287.367826,-37.90424,3.99
105.939555,-15.633259,3.99
234.179945,-66.316905,3.99
147.86951,-14.84655,3.99
337.439356,-43.749228,4
298.81533,-41.868414,4
181.30279,8.732846,4
63.724407,48.409373,4
90.595793,9.647368,4
312.955401,-26.919126,4
311.524025,-25.270517,4.01
80.986818,-7.807956,4.01
354.986751,5.627354,4.01
341.515514,-81.381617,4.01
97.240794,20.212167,4.01
238.456154,-16.729622,4.01
129.414197,5.703799,4.02
181.72022,-64.613639,4.02
239.397091,26.878026,4.02
333.992376,37.748735,4.02
233.232483,31.359155,4.02
52.718196,12.936682,4.02
326.161268,25.645003,4.02
56.581501,23.948462,4.02
260.92072,37.145924,4.03
107.966085,-0.492781,4.03
355.101841,44.333978,4.03
261.592572,-24.175023,4.04
112.27754,31.784079,4.04
91.030069,23.263632,4.04
57.36367,-36.200113,4.05
334.208193,-7.783237,4.05
8.249944,62.931788,4.05
214.096568,46.087919,4.06
340.163857,-27.043615,4.06
249.093587,-35.255356,4.06
213.223921,-10.274044,4.06
207.361464,-34.45063,4.07
281.415547,20.547124,4.07
341.672673,12.174084,4.08
156.971219,36.707478,4.08
119.214826,-22.880148,4.08
343.98705,-32.539702,4.08
248.525789,42.436896,4.08
82.696033,5.948218,4.08
52.267227,59.940335,4.09
321.610384,-65.368144,4.09
66.342078,22.293981,4.09
348.580552,-6.048527,4.1
283.054319,-62.187561,4.1
281.793656,-4.747829,4.1
311.415663,30.719657,4.1
241.648151,-36.802213,4.1
246.755993,-18.456197,4.1
283.626203,36.898605,4.1
319.353969,39.39469,4.1
56.712454,-23.248438,4.1
275.189338,71.337727,4.1
42.645476,38.318908,4.1
115.827855,28.884072,4.11
210.411596,1.544583,4.11
326.698358,49.309575,4.11
242.192497,44.934819,4.11
250.772582,-77.516572,4.11
286.604332,-37.062757,4.11
206.423194,-33.043366,4.11
197.970511,27.876038,4.11
5.007976,-64.877623,4.11
265.353819,-12.875173,4.12
184.587266,-79.312269,4.12
41.030644,-13.858676,4.12
348.971987,-9.087696,4.12
36.746271,-47.703827,4.12
188.437886,41.356768,4.12
247.84559,-34.704321,4.12
216.881344,75.695939,4.13
193.358942,-40.178819,4.13
18.939564,-68.876237,4.13
69.17264,41.264855,4.13
61.646064,50.35135,4.13
125.708875,43.188372,4.13
77.286596,-8.754076,4.13
68.913473,10.160917,4.13
53.446866,-21.632816,4.14
73.512544,66.34266,4.14
26.348286,9.157641,4.14
49.97177,-43.071549,4.14
64.006214,-51.487096,4.14
134.621654,11.857772,4.14
270.376679,21.595688,4.14
264.136861,-38.634865,4.14
330.946508,64.627754,4.14
17.375509,47.241824,4.14
196.727763,-49.906216,4.15
69.539174,12.510874,4.15
311.664658,16.124773,4.15
351.992366,6.379097,4.15
15.736066,7.890073,4.15
41.234889,10.11422,4.15
63.883522,8.89241,4.15
290.804419,-44.799648,4.15
70.561265,22.956975,4.15
229.633536,-47.875192,4.15
320.561573,-16.834555,4.16
261.8386,-29.866699,4.16
66.576645,22.813694,4.16
346.719869,-43.520324,4.16
332.496886,33.178267,4.16
156.78815,-31.067802,4.16
144.2723,81.326421,4.16
337.876207,-32.346028,4.17
331.609189,-13.86954,4.17
178.227339,-33.90813,4.17
247.784979,-16.61264,4.17
354.53408,43.268076,4.17
236.014433,77.794499,4.17
159.826719,-55.603279,4.17
79.893858,-13.176777,4.17
54.218829,0.402833,4.17
66.372156,17.927989,4.18
130.806193,3.398665,4.18
57.149262,-37.620129,4.18
177.4212,-63.788489,4.18
14.651441,-29.357464,4.18
304.4119,-12.508214,4.18
163.903533,24.749755,4.18
89.983756,45.936753,4.18
56.302009,24.467379,4.18
37.039658,8.460089,4.18
215.08147,-56.386479,4.18
174.237208,-0.823854,4.18
188.018686,-16.195866,4.18
216.732253,-83.667853,4.19
130.154313,-59.761015,4.19
241.851251,-20.868654,4.19
231.123068,37.376961,4.19
309.584473,-1.10508,4.19
260.206815,-12.846882,4.2
54.122334,48.192701,4.2
93.844736,29.498712,4.2
180.75708,-63.312945,4.2
207.956772,-32.994016,4.2
83.05313,18.594245,4.2
142.930168,22.968065,4.2
131.593864,-13.547705,4.2
222.909681,-43.575294,4.2
197.498123,17.529116,4.2
70.110391,-19.671257,4.2
272.144962,-63.668048,4.21
274.965505,36.064447,4.21
112.040956,8.925504,4.21
258.838697,-26.600049,4.21
193.279069,-48.943253,4.21
216.545006,-45.379261,4.21
281.755093,18.18123,4.22
337.382595,47.706895,4.22
9.63958,29.312369,4.22
281.193066,37.60505,4.22
17.774711,55.149948,4.22
144.206904,-49.355129,4.22
261.628665,4.140342,4.22
139.050427,-57.541438,4.22
